"feature.ID","Airlock","Columbus","JLP","JPM","Node 1","Node 2","Node 3","PMM","US Lab"
"12975",6,27,6,39,41,44,48,26,27
"11801",1,15,6,13,17,14,21,9,14
"12468",0,3,1,4,5,3,10,3,6
"21591",1,4,2,2,2,3,10,4,1
"21440",1,9,1,5,11,4,12,5,11
"8153",0,0,0,2,0,0,0,0,0
"1605",1,20,13,21,36,35,62,20,36
"61",0,4,4,3,2,2,6,0,2
"20022",1,0,0,0,5,3,2,3,2
"20615",0,6,4,6,5,5,13,5,6
"20287",2,4,1,6,10,7,14,6,6
"19876",1,6,3,10,17,8,18,7,12
"21210",1,3,2,4,1,3,4,5,7
"19488",3,8,4,17,15,17,23,13,11
"18955",1,9,0,11,16,9,11,3,4
"18548",1,2,0,10,10,3,11,4,3
"18142",0,2,0,4,3,6,4,1,4
"5606",2,4,3,12,6,8,12,2,6
"4110",9,18,10,30,32,32,40,14,24
"18543",0,2,0,1,3,0,5,0,2
"413",14,32,13,47,53,34,69,30,47
"2409",9,28,14,31,28,40,46,34,29
"17741",7,18,7,20,38,28,36,20,27
"1524",10,44,25,64,51,52,68,37,54
"967",16,41,22,51,71,49,84,41,58
"16263",1,16,5,18,19,19,24,19,33
"1212",0,2,1,6,6,3,6,2,3
"2226",0,2,1,1,1,1,3,0,1
"1850",2,9,3,14,7,9,14,10,10
"1401",7,21,9,32,31,33,35,28,27
"5098",3,3,4,11,20,7,17,9,6
"853",4,8,7,13,15,16,23,5,11
"5381",4,19,9,23,35,24,50,21,29
"10857",5,7,6,8,10,6,10,4,10
"9205",18,52,29,70,89,79,122,53,68
"12174",2,6,2,1,4,2,7,3,6
"245",1,0,2,2,11,1,52,6,4
"21587",0,3,0,3,1,3,5,4,5
"1046",10,28,9,47,48,50,68,38,44
"21655",0,0,0,0,0,0,2,0,0
"21533",0,5,0,9,7,5,12,6,5
"21452",2,10,3,14,11,14,22,5,9
"20783",1,2,5,6,6,6,5,7,3
"20423",2,1,2,5,6,7,6,5,4
